entryId,ruleId,Read,Write,Execute,conditionMatchType
ad2f69df-e6c5-4cd7-a2bf-bf7ef8c6c2b5,f745aeec-3233-4ca5-961c-2e8b55510784,0.0,1.0,0.0,
a0bcff88-b8e4-4f48-92be-16c36adac930,36ae1037-a639-4cff-946b-b36c53089a4c,False,True,True,
4a17df0b-d89d-430b-9cbe-8e0721192281,36ae1037-a639-4cff-946b-b36c53089a4c,False,True,True,
f8ddbbc5-8855-4776-a9f4-ee58c3a21414,c544a991-5786-4402-949e-a032cb790d0e,False,True,True,
07e22eac-8b01-4778-a567-a8fa6ce18a0c,c544a991-5786-4402-949e-a032cb790d0e,False,True,True,
2566d326-d8e9-49be-9b8e-2fd0853e6641,2e18a6b9-eb30-440a-a6aa-1f930b443baf,True,True,True,
ea3ccfe9-ec04-4fa2-a6bb-06941c7b051a,2e18a6b9-eb30-440a-a6aa-1f930b443baf,True,True,True,
c7a13940-5c14-49f6-b0fb-b0978bf0f8cc,69a4a010-acb1-4573-8a58-50cf4ee7bc7f,True,True,True,
ae5672a9-0746-41e7-8c21-63222f1aa304,69a4a010-acb1-4573-8a58-50cf4ee7bc7f,True,True,True,
A7CEE2F8-CE34-4B34-9CFE-4133F0361035,772cef80-229f-48b4-bd17-a69130092981,False,False,True,
A7CEE2F8-CE34-4B34-9CFE-4133F0361035,772cef80-229f-48b4-bd17-a69130092981,True,False,False,
18BA3DD5-4C9A-458B-A756-F1499FE94FB4,772cef80-229f-48b4-bd17-a69130092981,True,False,True,
A7CEE2F8-CE34-4B34-9CFE-4133F0361035,772cef80-229f-48b4-bd17-a69130092981,True,True,True,
18BA3DD5-4C9A-458B-A756-F1499FE94FB4,772cef80-229f-48b4-bd17-a69130092981,True,True,True,
