groupId,Windows Device Family,Windows Device Friendly Name,Vendor Product Id (VID/PID),Vendor Id (VID),Product Id (PID),Windows Device Instance Path,Windows Device Id,Windows Device Hardware,Windows Device Bus,Windows Device Serial Number,Windows Device Encryption State,Device Control Group
{9b28fae8-72f7-4267-a1a5-685f747a7146},"RemovableMediaDevices, CdRomDevices, WpdDevices",,,,,,,,,,,
{65fa649a-a111-4912-9294-fb6337a25038},,,,,,USBSTOR\DISK&VEN__USB&PROD__SANDISK_3.2GEN1&REV_1.00\03003324080520232521&0,,,,,,
{9b28fae8-72f7-4267-a1a5-685f747a7146},"RemovableMediaDevices, CdRomDevices, WpdDevices",,,,,,,,,,,
{9b28fae8-72f7-4267-a1a5-685f747a7146},"RemovableMediaDevices, CdRomDevices, WpdDevices",,,,,,,,,,,
{65fa649a-a111-4912-9294-fb6337a25038},,,,,,USBSTOR\DISK&VEN__USB&PROD__SANDISK_3.2GEN1&REV_1.00\03003324080520232521&*,,,,,,
{65fa649a-a111-4912-9294-fb6337a25038},,,,,,USBSTOR\DISK&VEN__USB&PROD__SANDISK_3.2GEN1&REV_1.00\03003324080520232521&*,,,,,,
{9b28fae8-72f7-4267-a1a5-685f747a7146},"RemovableMediaDevices, CdRomDevices, WpdDevices",,,,,,,,,,,
{fb4ad01e-f41a-46c6-9ac1-268efa0ea083},"RemovableMediaDevices, CdRomDevices, WpdDevices","SDHC*, SDXC*","0951_169D, 2009_16AF, 1908_0226",,,,USBSTOR\CDROM&VEN_KINGSTON&PROD_DTLOCKER+G3,,,,,
{7f191817-c305-451d-812a-1c4b03ebcec8},,,"07B4_0232, 07B4_0279, 07B4_0244, 07B4_0264, 07B4_0236, 07B4_0245, 0911_1F40, 0911_251C, 1D54_1072, 1D54_1070, 1D54_1080, 054C_0B6F",,,,,,,,,
{1653593b-5b92-47e6-975a-c43ffa9cd28d},,,"046D_0837, 046D_085B, 046D_0825, 03F0_5705, 03F0_5D05, 040A_6030, 040A_601D, 1083_1646, 1083_1647, 04CA_7053, 04CA_7054, 04F2_B51C, 05C8_0383, 05C8_034B, 0461_4DFE",,,,,,,,,
{d2887bd4-a916-4011-a385-83c6b15df529},,,"09CB_1007, 0F7E_900C",,,,,,,,,
{9b28fae8-72f7-4267-a1a5-685f747a7146},"RemovableMediaDevices, CdRomDevices",,,,,,,,,,,
{fa78280d-2d8e-4027-b0bb-62ab5c2bba7f},,Generic Flash Disk USB Device,0781_,,,,,,,,,
{9b28fae8-72f7-4267-a1a5-685f747a7146},"RemovableMediaDevices, CdRomDevices, WpdDevices",,,,,,,,,,,
{65fa649a-a111-4912-9294-fb6337a25038},,,,,,USBSTOR\DISK&VEN__USB&PROD__SANDISK_3.2GEN1&REV_1.00\03003324080520232521&*,,,,,,
{fb4ad01e-f41a-46c6-9ac1-268efa0ea083},"RemovableMediaDevices, CdRomDevices, WpdDevices","SDHC*, SDXC*","0951_169D, 2009_16AF, 1908_0226",,,,USBSTOR\CDROM&VEN_KINGSTON&PROD_DTLOCKER+G3,,,,,
{7f191817-c305-451d-812a-1c4b03ebcec8},,,"07B4_0232, 07B4_0279, 07B4_0244, 07B4_0264, 07B4_0236, 07B4_0245, 0911_1F40, 0911_251C, 1D54_1072, 1D54_1070, 1D54_1080, 054C_0B6F",,,,,,,,,
{1653593b-5b92-47e6-975a-c43ffa9cd28d},,,"046D_0837, 046D_085B, 046D_0825, 03F0_5705, 03F0_5D05, 040A_6030, 040A_601D, 1083_1646, 1083_1647, 04CA_7053, 04CA_7054, 04F2_B51C, 05C8_0383, 05C8_034B, 0461_4DFE",,,,,,,,,
{d2887bd4-a916-4011-a385-83c6b15df529},,,"09CB_1007, 0F7E_900C",,,,,,,,,
{fa78280d-2d8e-4027-b0bb-62ab5c2bba7f},,Generic Flash Disk USB Device,0781_,,,,,,,,,
{d8819053-24f4-444a-a0fb-9ce5a9e97862},RemovableMediaDevices,,,,,,,,,,,
{368a2c82-17be-4137-bffa-370bbdff9672},,,,,,USB\VID_154B&PID_0028\6EA9150055800605,,,,,,
{23c24566-98a5-4218-8802-59614513b97e},,,090C_1000,,,,,,,,,
{d8819053-24f4-444a-a0fb-9ce5a9e97862},RemovableMediaDevices,,,,,,,,,,,
{d8819053-24f4-444a-a0fb-9ce5a9e97862},RemovableMediaDevices,,,,,,,,,,,
{368a2c82-17be-4137-bffa-370bbdff9672},,,,,,USB\VID_154B&PID_0028\6EA9150055800605,,,,,,
{d8819053-24f4-444a-a0fb-9ce5a9e97862},RemovableMediaDevices,,,,,,,,,,,
{368a2c82-17be-4137-bffa-370bbdff9672},,,,,,USB\VID_154B&PID_0028\6EA9150055800605,,,,,,
{23c24566-98a5-4218-8802-59614513b97e},,,090C_1000,,,,,,,,,
{d8819053-24f4-444a-a0fb-9ce5a9e97862},RemovableMediaDevices,,,,,,,,,,,
{368a2c82-17be-4137-bffa-370bbdff9672},,,,,,USB\VID_154B&PID_0028\6EA9150055800605,,,,,,
{23c24566-98a5-4218-8802-59614513b97e},,,090C_1000,,,,,,,,,
{d8819053-24f4-444a-a0fb-9ce5a9e97862},RemovableMediaDevices,,,,,,,,,,,
